features_id,bedrooms,squareFootage,features,bathrooms,lotSize
38,4.0,3076.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Mixed', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Concrete Tile', 'unitCount': 1}",3.0,14712.0
39,3.0,1758.0,Unknown,2.5,0.0
40,3.0,1217.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.0,0.0
41,2.0,640.0,"{'exteriorType': 'Vinyl', 'floorCount': 1, 'heating': True, 'heatingType': 'Gravity', 'roomCount': 5, 'unitCount': 1}",1.0,0.0
42,3.0,1560.0,"{'architectureType': 'Conventional', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Floor / Wall', 'roomCount': 6, 'unitCount': 1}",1.0,5980.0
43,2.0,1052.0,"{'architectureType': 'Condo / Apartment', 'exteriorType': 'Wood', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 1, 'foundationType': 'OTHER', 'garage': True, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Baseboard', 'roofType': 'Composition Shingle', 'unitCount': 2}",2.0,0.0
44,0.0,0.0,Unknown,1.0,0.0
45,0.0,840.0,"{'architectureType': 'Mobile Home', 'floorCount': 1, 'heating': True, 'heatingType': 'Central'}",0.0,0.0
46,0.0,0.0,Unknown,0.0,0.0
47,4.0,1453.0,Unknown,2.0,0.0
48,4.0,3450.0,"{'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 4, 'garageType': 'Attached Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'roomCount': 14, 'unitCount': 1}",3.0,16988.0
49,4.0,1774.0,"{'architectureType': 'Condo / Apartment', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'roomCount': 6, 'unitCount': 1}",3.0,1774.0
50,0.0,1693.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle'}",2.0,10341.0
51,4.0,2218.0,"{'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Central', 'roofType': 'Wood Shingle', 'unitCount': 1}",1.0,40946.0
52,5.0,3851.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 2, 'garage': True, 'garageSpaces': 3, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'pool': True, 'unitCount': 1}",3.0,9566.0
53,3.0,1465.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Mixed', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'roomCount': 5, 'unitCount': 1}",2.0,0.0
54,3.0,1322.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 1, 'foundationType': 'Masonry', 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'roomCount': 6, 'unitCount': 1}",2.0,24490.0
55,2.0,900.0,Unknown,1.5,0.0
56,2.0,920.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'roomCount': 5, 'unitCount': 1}",1.0,871.0
57,2.0,880.0,"{'exteriorType': 'Concrete Block', 'floorCount': 1, 'unitCount': 1}",1.0,5600.0
